YLL039C    14.07.05 14.13.01 43.01.03 
YMR186W    32.01.07 
YLL023C    # 
YHR083W    20.01.10 20.09.04 
YFR005C    11.04.03 
YOL083W    # 
YBR216C    32.01.01 
YEL020W-A  20.01.10 20.09.04 32.01.07 
YNL020C    10.03.03 14.07.03 20.09.18 42.04.03 43.01.03 
YGL125W    01.01.06 01.05.13 01.07.01 12.01.01 16.21.07 
YKR038C    43.01.03 
YEL038W    # 
YLR022C    11.04.01 
YLR354C    01.05.02 
YMR026C    # 
YPR162C    10.01.03 10.01.09 11.02.03 34.11.03 
YDR284C    01.06.10 10.03.03 
YFL013C    10.01.09 42.10.03 
YKL051W    01.06.02 42.04.03 
YKL165C    01.06.02 14.07.01 20.01.17 43.01.03 
YJL143W    20.01.10 20.09.04 
YDL091C    # 
YJL154C    20.09.07 20.09.13 
YGR057C    20.01.10 20.09.07 20.09.13 
YKL194C    # 
YDR074W    # 
YMR029C    10.03.01 34.11.03 
YMR148W    # 
YGL142C    01.06.02 14.07.01 
YDR494W    12.01.01 12.04.01 
YKL151C    # 
YLR249W    12.04.02 
YPL230W    # 
YGR019W    01.02.07 
YBR263W    01.01.06 01.01.09 01.03.01 01.05.05 01.05.13 
YOR249C    10.01.09 10.03.01 14.07.05 14.13.01 16.19.03 
YLR018C    20.09.01 
YBL056W    14.07.03 18.02.01 30.01.05 34.11.03 
YDL175C    20.01.21 
YJR135W-A  20.01.10 20.09.04 
YHR192W    # 
YNL139C    10.01.05 11.02.03 20.01.21 
YHL024W    10.01.03 10.01.05 10.03.02 16.03.03 43.01.03 
YLR109W    32.01.01 32.07.07 34.01.01 34.11.03 
YOR063W    12.01.01 
YBR205W    14.07.02 
YPL076W    01.06.02 14.07.01 
YMR294W    10.03.01 20.09.14 
YML110C    01.07.01 01.20.15 02.13.03 
YLR292C    20.01.10 20.09.05 
YLR216C    11.02.03 32.01.07 
YJL093C    20.01.01 20.03.01 20.09.16 34.01.01 
YDR046C    20.01.07 20.09.18 
YJL092W    10.01.02 10.01.05 
YNR069C    # 
YCR057C    10.03.03 11.04.01 16.03.03 43.01.03 
YLR445W    # 
YDR356W    10.03.01 42.04.05 
Q0050      10.01.05 10.01.09 11.04.03 
YOR369C    12.01.01 
YJR083C    42.04.03 43.01.03 
YJR145C    11.04.01 12.01.01 
YGR239C    18.02.01 20.09.03 
YGR246C    11.02.01 11.02.02 11.02.03 
YJR138W    # 
YHR059W    # 
YOR006C    # 
YOL032W    # 
YNL156C    01.06.06 18.01.07 18.02.01 
YDR079C-A  10.01.05 11.02.03 
YNL286W    11.04.03 16.03.03 
YJL151C    # 
YFR032C-A  12.01.01 
YNL093W    20.09.13 20.09.18 
YOR332W    20.01.01 20.01.15 20.03.22 20.09.13 34.01.01 
YKR022C    11.04.03 
YMR318C    # 
YDR425W    20.01.09 20.01.10 
YGL134W    01.05.25 18.02.01 
YJR094W-A  12.01.01 
YKR074W    # 
YDR293C    10.03.01 16.03.03 43.01.03 
YNL099C    14.07.03 18.01.01 18.02.01 30.01.05 32.01.01 
YKL006W    12.01.01 16.03.03 
YCL057W    14.13.01 
YDR097C    10.01.05 16.03.01 16.19.03 
YLR185W    12.01.01 
YOR194C    11.02.03 
YNL100W    # 
YGR060W    01.06.06 
YHR041C    11.02.03 
YNL288W    11.02.03 
YFL003C    10.01.05 10.03.02 16.03.01 
YPR140W    01.06.02 
YNL318C    20.01.03 20.09.18 
YOR125C    01.05.25 01.07.07 
YDR276C    20.01.01 
YNL224C    # 
YLL014W    # 
YLR129W    10.03.01 10.03.02 11.04.01 16.03.03 
YGL066W    14.07.04 42.10.03 
YGR143W    01.05.02 01.05.03 
YOL040C    12.01.01 20.01.10 20.09.01 
YML030W    # 
YOR261C    14.13.01 
YMR316W    43.01.03 
YCR027C    20.01.07 
YER125W    10.01.09 14.07.05 14.13.01 16.19.03 43.01.03 
YMR263W    10.01.09 11.02.03 14.07.04 34.11.03 43.01.03 
YGR221C    43.01.03 
YJR132W    01.03.16 20.01.10 20.09.01 
YDR192C    20.01.10 20.01.21 20.09.01 42.10.05 
YKL127W    01.05.02 01.05.09 
YJL131C    # 
YER021W    14.13.01 
YDR495C    20.09.13 
YDR382W    12.01.01 12.04.02 
YOL129W    20.09.13 
YKR009C    01.06.05 
YNL280C    01.06.06 16.21.07 
YLR259C    16.03.01 20.01.10 20.09.04 
YKR049C    32.01.01 
YKL073W    20.01.10 32.01.07 
YDR505C    # 
YDR496C    11.02.03 41.01.01 
YGL202W    01.01.09 01.01.13 01.20.17 
YOL077W-A  02.45.15 20.01.01 20.01.15 20.09.04 
YCL040W    20.01.03 20.09.18 
YFR007W    # 
YKL137W    # 
YGR072W    01.03.16 
YER022W    11.02.03 
YIL118W    20.09.16 30.01.05 42.04.03 43.01.03 
YKL006C-A  20.09.07 
YJR008W    # 
YNL215W    # 
YDR172W    01.03.16 10.03.01 12.04.03 
YBR042C    01.06.02 
YER056C-A  12.01.01 
YPL064C    # 
YNL085W    01.03.16 10.01.05 
YDR256C    32.01.01 32.07.07 
YGL051W    20.09.07 
YBL038W    12.01.01 12.04.02 
YNL287W    20.09.07 
YPL166W    # 
YJL005W    01.03.10 10.03.01 10.03.02 30.01.05 30.01.09 34.11.12 43.01.03 
YOR281C    11.02.03 18.02.01 34.11.03 
YAR050W    16.13.01 34.07.01 
YMR114C    # 
YLR044C    02.16.01 
YGR251W    11.04.01 
YJL099W    01.05.03 20.09.07 
YLR262C    20.01.10 20.09.07 
YFR010W    14.07.05 14.13.01 
YOR260W    12.04.01 
YKR028W    10.03.01 14.07.03 30.01.05 43.01.03 
YOR374W    01.05.06 02.16.01 
YJR046W    10.01.03 
YJR122W    11.02.03 
YML105C    20.01.10 
YKL035W    01.05.02 14.07.02 
YJL102W    12.04.02 
YER058W    # 
YOR373W    10.03.01 42.04.05 
YGL222C    01.03.16 11.04.03 16.03.03 
YDL035C    30.01.05 30.05.02 34.11.12 43.01.03 
YDR533C    32.01.07 
YGR198W    30.01.05 
YJL034W    10.03.01 16.19.03 20.09.05 32.01.07 41.01.01 
YNR059W    14.07.02 
YNR022C    12.01.01 
YDR034C    01.01.06 01.01.13 11.02.03 
YGR156W    11.02.03 11.04.03 16.03.03 
YLR066W    14.07.11 
YPL186C    # 
YBR173C    14.13.01 18.02.01 32.01.07 
YHR057C    # 
YJL031C    14.07.01 
YLR234W    10.01.02 10.01.05 10.01.11 10.03.01 10.03.02 32.01.09 42.10.03 
YHR121W    16.03.03 
YDR119W-A  # 
YDL067C    02.13.03 20.01.15 
YKL180W    12.01.01 
YGR037C    20.01.13 
YDR280W    01.03.16 11.04.01 
YBR191W    12.01.01 
YDR346C    # 
YDL232W    01.05.03 14.07.02 
YMR229C    11.04.01 16.03.03 
YKR092C    20.09.01 32.01.07 
YAL060W    16.17.09 16.21.07 
YLR117C    10.01.03 10.03.01 11.04.03 
YCR019W    # 
YDR143C    10.01.09 14.07.05 14.13.01 16.19.03 34.11.03 
YDL122W    14.07.05 14.13.01 
YAL031C    # 
YLR089C    # 
YOR361C    10.03.01 12.04.01 43.01.03 
YGR154C    # 
YBL035C    10.01.03 
YHR087W    # 
YDR151C    11.02.03 
YDR493W    # 
YGL022W    01.05.03 14.07.02 
YLR192C    11.02.03 11.04.01 12.04.01 16.03.03 
YOR265W    10.03.02 
YDR031W    # 
YPL074W    14.13.01 16.19.03 
YLR335W    20.01.10 20.01.21 20.09.01 42.10.05 
YKR083C    10.03.04 10.03.05 43.01.03 
YHR156C    # 
YDR129C    20.09.16 20.09.18 32.01.03 42.04.03 43.01.03 
YDR453C    01.20.37 32.01.01 32.07.07 
YAL008W    # 
YDR191W    10.01.09 11.02.03 16.03.01 34.11.03 
YLL026W    16.19.03 
YLR459W    14.07.01 
YGR099W    16.03.01 32.01.09 42.10.03 
YLR110C    34.11.03 41.01.01 
YBR137W    # 
YNL281W    # 
YOR142W    01.05.02 16.19.03 
YLR430W    11.04.01 11.04.02 16.19.03 
YDR304C    # 
YAR033W    20.09.07 
YPL020C    10.03.01 14.07.07 14.13.01 
YHR001W-A  02.13.03 
YMR150C    # 
YOR153W    16.19.03 20.01.01 20.01.13 20.01.27 20.03.22 20.03.25 32.05.01 34.01.01 
YLR034C    20.01.01 34.01.01 
YBL027W    12.01.01 
YNL213C    10.01.03 
YMR255W    20.01.21 20.09.01 
YDR033W    # 
YPL154C    14.07.11 14.13.01 14.13.04 32.01.11 43.01.03 
YDR253C    01.01.06 01.01.09 01.01.13 01.02.07 11.02.03 16.03.01 
YGR238C    34.11.03 41.01.01 43.01.03 
YEL011W    01.05.03 
YML103C    20.01.10 20.01.21 20.09.01 42.10.05 
YIL051C    01.01.11 
YOR305W    # 
YLR079W    10.03.01 18.02.01 
YDL140C    11.02.03 16.03.01 
YPL129W    01.04.04 01.05.25 10.01.09 10.03.01 11.02.03 34.11.03 
YKR063C    10.03.01 43.01.03 
YGR028W    16.19.03 20.09.04 
YKL116C    14.07.03 30.01.05 30.05.01 
YFL057C    01.01.09 
YLL009C    20.01.01 34.01.01 
YGR123C    14.07.03 30.01.05 
YMR220W    01.06.06 16.19.03 
YMR188C    02.13.03 12.01.01 
YJR059W    10.03.01 14.07.03 20.01.11 34.11.12 
YNL075W    11.04.01 11.06.01 16.03.03 
YML117W    16.03.03 
YMR116C    # 
YBR194W    # 
YAL044C    01.01.09 01.05.05 
YKL091C    # 
YKL139W    11.02.03 14.07.03 
YHR129C    10.03.01 20.09.14 43.01.03 
YLR436C    # 
YOR253W    14.07.04 
YNL268W    20.01.07 20.09.18 
YKR106W    20.01.27 
YDR110W    10.01.03 10.01.05 10.01.09 16.03.03 
YDL029W    10.03.03 20.09.18 42.04.03 43.01.03 
YOR132W    20.09.07 
YBR149W    01.05.02 16.21.07 
YOR150W    12.01.01 
YEL012W    02.01.03 14.07.05 14.13.01 
YOR192C    20.01.17 20.01.23 
YGR030C    11.04.01 11.04.02 
YBR172C    20.09.14 
YDR226W    01.03.01 10.03.03 
YOL005C    11.02.03 16.03.01 
YML064C    10.03.01 
YOR089C    20.09.13 20.09.18 
YJR022W    11.04.01 11.04.03 
YPR176C    14.07.01 
YIL148W    12.01.01 14.13.01 
YPL194W    10.01.05 10.03.01 10.03.02 
YDR140W    # 
YNL252C    12.01.01 
YGR282C    # 
YOR219C    14.07.11 34.11.03 
YBR164C    20.09.07 20.09.13 
YBR188C    11.04.03 
YMR060C    20.09.04 
YOR195W    10.03.01 10.03.02 10.03.04 10.03.05 
YIL076W    20.09.07 
YBR217W    14.07.11 14.13.04 20.09.13 
YIL002C    01.06.02 20.09.18 30.01.09 
YDR518W    # 
YOR178C    01.05.25 10.03.01 10.03.02 11.02.03 14.07.03 18.02.01 32.01.05 34.11.09 
YBL003C    10.01.09 11.02.03 16.03.01 
YDR376W    01.07.01 20.01.15 34.01.01 
YGL058W    10.01.03 10.01.05 14.07.05 14.13.01 43.01.03 
YFL005W    10.03.03 20.09.07 20.09.16 30.01.05 43.01.03 
YDR014W    # 
YML061C    10.01.02 10.01.05 32.01.09 42.10.03 
YDL007W    14.07.11 14.13.01 16.19.03 
YBR030W    # 
YLR021W    # 
YPL225W    # 
YIL122W    10.03.01 11.02.03 
YJR036C    11.04.03 14.07.05 14.13.01 16.19.03 
YMR195W    # 
YDR138W    10.01.05 11.02.03 20.01.21 
YPL218W    20.09.07 
YGR004W    # 
YPR037C    # 
YOR244W    10.01.09 10.03.01 11.02.03 14.07.04 42.10.03 
YMR314W    14.07.11 14.13.01 
YBR037C    16.17.09 20.01.01 34.01.01 
YMR123W    20.01.27 
YBR112C    11.02.03 18.02.09 
YER133W    01.05.25 10.03.01 10.03.02 11.02.03 11.04.01 14.07.03 32.01.05 34.11.09 43.01.03 
YNL247W    01.01.09 
YKL132C    01.07.01 01.07.04 
YOR303W    01.01.03 
YKL012W    11.04.03 16.03.03 
YLR395C    02.13.03 20.01.15 
YHR141C    12.01.01 
YBL052C    10.01.09 11.02.03 14.07.04 34.11.03 
YCL045C    # 
YDL135C    18.02.01 18.02.05 30.01.05 40.01.03 42.04.03 43.01.03 
YNL152W    # 
YJL111W    32.01.07 
YNL244C    12.04.01 
