YPL225W    # 
YIL122W    10 11 
YJR036C    11 14 16 
YMR195W    # 
YDR138W    10 11 16 20 
YPL218W    20 
YGR004W    42 
YPR037C    01 14 
YOR244W    10 11 14 42 
YMR314W    14 
YBR037C    14 16 20 34 
YMR123W    20 
YBR112C    11 18 
YER133W    01 02 10 11 12 14 32 34 40 43 
YNL247W    01 12 
YKL132C    01 
YOR303W    01 
YKL012W    11 16 
YLR395C    02 20 
YHR141C    12 
YBL052C    10 11 14 34 
YCL045C    # 
YDL135C    18 30 40 42 43 
YNL152W    16 
YJL111W    14 16 32 42 
YNL244C    12 
YNL135C    12 14 
YHL015W    12 
YGR236C    # 
YDL085W    02 20 42 
YBR278W    10 
YPR184W    01 02 
YGR224W    20 32 
YDR308C    11 
YDL191W    12 
YDR481C    01 14 
YOR349W    10 14 16 
YCR002C    01 10 16 34 40 41 42 43 
YBR035C    01 
YCR018C    11 
YDR244W    14 16 20 42 
YFR037C    10 11 
YOL088C    14 
YLR163C    14 
YBR069C    20 
YIR025W    10 
YGL215W    10 18 
YLR084C    43 
YML073C    12 16 
YPR066W    14 18 
YDR092W    10 14 16 
YMR223W    14 
YDL040C    01 12 14 
YMR142C    12 
YKL089W    10 16 
YLR239C    01 14 
YNL133C    10 
YPL019C    20 42 
YOR198C    10 16 42 43 
YLR102C    10 14 16 
YGL241W    14 20 42 
YML055W    14 16 
YHR143W-A  11 16 
YLL050C    14 16 20 40 42 43 
YCR021C    32 34 
YGR133W    14 16 42 
YBR038W    01 10 32 43 
YDR023W    12 
YHR197W    11 12 
YOR039W    01 10 11 14 32 34 43 
YMR101C    01 14 42 
YPL087W    01 32 34 
YDR135C    20 32 34 
YNL325C    01 20 34 40 41 
YNL001W    10 12 
YBR128C    14 
YGR094W    12 
YOL146W    10 16 
YNL032W    01 14 18 20 30 32 42 
YNL098C    01 10 30 32 34 40 43 
YNL216W    01 10 11 12 16 32 42 
YIL036W    01 10 11 
YLR332W    10 30 34 40 41 42 
YGR081C    01 10 
YPL096C-A  18 30 
YCL005W-A  01 14 16 20 34 42 
YBR058C-A  01 18 
YPL273W    01 
YGR248W    02 11 
YOL058W    01 
YKR085C    12 42 
YHL007C    01 14 30 34 40 42 43 
YJL110C    01 11 
YOR136W    01 02 11 16 
YOL086W-A  # 
YOR202W    01 
YJL074C    01 10 16 43 
YOR127W    18 30 34 40 42 43 
YPR188C    10 16 40 42 43 
YNL054W    01 14 18 
YBR153W    01 
YGL018C    01 02 14 16 
YGR142W    20 34 
YPL013C    12 42 
YKL186C    16 20 
YDR206W    10 32 42 
YBL037W    14 20 
YPR042C    01 11 16 
YGR002C    10 14 16 42 
YBR085W    02 20 
YMR271C    01 
YBR109C    10 16 20 34 40 42 43 
YBL078C    14 16 20 
YLL001W    42 
YLR013W    01 11 
YDR381W    16 20 
YMR153W    14 16 20 42 
YNL323W    11 30 
YER115C    40 42 43 
YGR254W    01 02 
YPR067W    20 34 
YDR441C    01 
YIL145C    01 
YMR164C    01 02 11 43 
YPR102C    12 
YLR141W    11 16 
YJL030W    10 
YLR168C    14 
YJR096W    01 
YOR172W    11 20 32 
YGL059W    01 14 
YHR015W    11 12 16 20 
YGL037C    01 10 40 
YDR359C    10 
YOR259C    01 11 14 16 
YLR073C    # 
YBL041W    14 
YNL009W    01 02 16 
YGL030W    11 12 
YJR076C    01 10 16 34 40 41 42 43 
YCR105W    01 02 
YKL045W    10 32 
YHR162W    # 
YLR262C-A  # 
YNL070W    14 20 
YJR139C    01 
YGR217W    20 34 
YPL003W    14 18 
YLR017W    01 
YDL092W    14 16 20 
YJL044C    18 20 
YOR096W    12 
YLR404W    # 
YDL169C    # 
YNL206C    10 38 
YJL101C    01 32 
YDL136W    12 
YLR375W    11 20 
YDL216C    14 16 34 
YIL153W    10 18 32 
YGR098C    10 14 
YER010C    # 
YFR028C    01 10 14 
YBR068C    20 
YDL212W    14 16 20 30 32 
YHR008C    32 
YBL017C    14 16 20 
YGL011C    14 
YGL238W    14 20 42 
YBR111W-A  10 11 20 
YBR052C    20 
YPR085C    # 
YPR167C    01 
YOR092W    01 16 42 
YNR010W    10 11 
YGR247W    01 10 11 
YIL125W    01 02 16 
YOR210W    11 16 
YOR270C    01 14 20 34 
YLR304C    01 02 
YLR028C    01 02 43 
YBR200W    10 16 34 40 41 42 43 
YOR087W    20 34 
YER081W    01 16 
YFR053C    01 02 
YOR212W    30 34 43 
YNL110C    10 12 
YIL098C    01 14 
YDR148C    01 02 
YJL059W    20 34 
YML128C    10 
YIL130W    11 
YOR001W    11 
YEL044W    # 
YBL001C    01 42 
YOR351C    01 10 14 
YDR373W    16 18 30 
YBL066C    11 43 
YGR091W    11 
YLR087C    02 
YAL012W    01 
YOL002C    01 16 34 
YJR068W    10 16 18 
YCL035C    20 32 
YGR005C    11 
YDL049C    01 02 
YDR484W    10 16 20 42 
YIL062C    14 16 20 42 43 
YKL206C    # 
YAL017W    01 14 
YMR115W    # 
YLR381W    10 16 42 
YEL005C    16 
YGL098W    14 20 
YBL028C    34 
YIR017C    01 11 16 
YGR184C    14 16 
YMR300C    01 
YLR008C    14 16 18 20 32 
YIL057C    # 
YIL107C    01 02 
YLR418C    11 
YGL136C    11 42 
YDR247W    01 10 14 
YHR024C    14 
YFR043C    # 
YOR255W    42 43 
YNL131W    14 20 
YML007W    11 32 
YMR194W    12 16 
YNR064C    32 
YER159C    11 18 
YPL075W    01 02 11 16 
YEL047C    01 02 20 
YHR118C    10 11 34 
YML004C    01 
YKL016C    02 14 16 20 34 
YPR056W    10 11 
YNL267W    01 10 20 30 43 
YER144C    14 
YDR058C    01 
YOR185C    20 42 
YLR250W    14 20 
YBR264C    16 20 42 
YDR239C    # 
YML016C    01 14 30 32 34 
YIL003W    01 14 16 
YLR172C    01 14 
YGR070W    01 18 30 40 42 43 
YJL168C    01 11 14 42 
Q0120      11 16 
YJL121C    01 02 
YPL212C    01 11 
YJL036W    14 16 20 
YDR197W    12 
YJL201W    42 
YPL141C    01 14 
YMR083W    01 02 
YGR086C    01 18 32 34 
YNL262W    10 32 
YGR281W    16 20 32 
YPL244C    20 
YGL231C    # 
YER090W    01 
YLR026C    20 
YDL200C    10 32 
YAR027W    # 
YDR428C    # 
YLR380W    20 42 
YOR182C    12 
YGR194C    01 16 
YNL153C    10 14 16 42 
YOR222W    20 
YML009C    12 42 
YDL133W    # 
YMR250W    01 32 
YBR098W    10 11 18 
YIL052C    12 
YMR059W    11 
YHR005C    16 30 34 
YDR507C    01 10 14 42 43 
YPR094W    11 34 
YNL246W    10 14 20 
YBR237W    11 14 16 
YER012W    14 32 43 
YNL138W-A  # 
YHR161C    14 16 20 40 42 43 
YGL141W    11 14 16 
YDR116C    02 12 42 
YDR242W    01 
YOL145C    10 11 16 
YJR072C    02 16 
YKR065C    16 20 42 
YJR031C    18 20 
YLR248W    01 02 10 14 
YIL020C    01 
YER023W    01 16 
YPL100W    14 16 
YCL055W    10 11 34 41 42 
YML024W    12 
YNL177C    02 12 42 
YKR027W    01 
YJL136C    12 
YBR150C    11 
YDR245W    01 14 42 43 
YMR140W    32 
YLR035C    10 
YBR016W    32 
YHR142W    01 20 42 
YOR254C    14 20 
YHR174W    01 02 
YFR012W    # 
YER094C    14 
YGR145W    11 
YLR265C    10 
YJR101W    12 42 
YDR447C    12 
YBL005W    11 16 32 
YIL136W    # 
YIL016W    42 
YOR052C    # 
YOL143C    01 
YGR029W    01 10 34 42 
YDR404C    11 16 32 
YOL052C-A  32 
YBL104C    # 
YBR095C    41 43 
YCR092C    10 32 
YHR085W    11 
YMR182C    11 
YDL210W    01 20 
YMR004W    14 20 
YDR168W    10 14 16 30 32 42 
YOL089C    11 32 34 
YNL227C    14 20 
YIL157C    # 
YIL149C    14 20 
YOR031W    16 32 34 
YLR043C    10 14 20 32 42 
YOL006C    10 11 
YDR180W    01 10 14 
YLR359W    01 
YPL217C    11 12 16 
YGL194C    10 11 14 
YMR135C    02 
YLR038C    02 14 20 
YOL071W    43 
YMR236W    10 11 14 42 
YLR287C-A  12 
YNL314W    01 11 
YCR083W    20 32 
YLR118C    # 
YKR057W    12 
YOL130W    20 32 34 
YDR169C    11 
YER178W    02 
YIL116W    01 16 
YGR100W    11 18 32 
YBR060C    10 11 34 
YER141W    01 02 14 
YPR021C    20 
YJL124C    01 11 16 
YGL091C    01 16 
YER042W    01 32 
YJL100W    01 30 42 
YMR107W    # 
YDR202C    34 42 
YJL192C    20 
YBR039W    02 20 34 
YAL035W    12 
YNL015W    14 18 42 
YJL024C    20 
YAL042W    20 
YOR030W    42 43 
YKL167C    12 42 
YFR049W    12 42 
YOL051W    01 11 34 43 
YDR296W    10 11 
YPL110C    01 
YLR205C    01 16 32 34 
YNL045W    01 14 
YPR141C    02 10 14 20 32 34 41 42 
YBR080C    01 16 20 
YMR009W    01 
YFL002C    11 12 16 
YER005W    01 14 
YFR027W    10 
YPL040C    12 
YMR112C    11 
YHR005C-A  14 16 20 32 42 
YGR283C    # 
YGR141W    14 20 
YKL064W    20 32 34 
YFL030W    01 02 
YPR166C    12 42 
YJR042W    11 14 16 20 42 43 
YGR150C    # 
YDR322C-A  02 14 16 20 
YGL180W    01 14 20 30 32 43 
YHR043C    01 32 
YPR101W    11 
YDR085C    30 34 43 
YBR146W    12 42 
YML070W    01 32 
YDL235C    01 16 30 32 34 
YGR186W    11 
YAL028W    30 32 
YDL002C    10 
YDR099W    02 10 16 30 40 43 
YPL008W    10 
YNL173C    30 34 
YDR173C    01 11 30 43 
YOR293W    12 
YLR356W    10 
YBR073W    10 16 32 34 41 
YJL058C    # 
YBL004W    11 16 
YFR015C    01 02 
YLR432W    01 
YDL088C    10 14 16 20 42 
YDR263C    01 10 32 
YDR435C    14 
YGR295C    # 
YFR031C    01 10 16 
YBR084C-A  12 
YNL334C    01 32 
YBR140C    18 30 34 43 
YCR068W    01 14 42 
YCR094W    10 11 43 
YOR285W    14 
YHR106W    01 16 32 
YMR100W    43 
YLR325C    12 
YGL089C    30 34 
YJL001W    14 32 43 
YLL022C    10 
YGL237C    01 11 
YMR207C    01 
YOR266W    32 42 
YDR120C    11 
YGL103W    12 16 
YNL007C    10 12 16 32 
YOR158W    12 42 
YJL098W    01 10 14 30 43 
YGL080W    # 
YBR059C    01 14 20 42 
YGR020C    20 34 
YDL131W    01 
YDR432W    11 14 16 20 
YNL088W    10 16 
YDR137W    10 18 20 40 
YGR167W    16 20 40 
YCR089W    34 40 41 
YHL043W    42 
YLR151C    01 
YBR127C    20 34 
YML121W    01 20 
YGL129C    12 42 
YLR310C    01 10 18 30 34 
YBR276C    01 10 14 
YPL178W    10 11 
YBR017C    10 14 20 
YGR244C    01 02 16 
YMR053C    11 14 
YOL044W    14 20 42 
YNL036W    20 
YAL021C    01 10 11 
YOR016C    14 20 
YGR063C    10 11 
YDR393W    42 
YLR106C    01 11 12 14 16 
YFR023W    10 
YMR267W    01 02 
YNL255C    11 12 30 
YJR034W    02 14 
YNL077W    14 16 32 
YKL129C    02 20 32 42 43 
YCR036W    01 02 16 
YDR456W    20 32 34 
YNL259C    14 20 32 34 
YGL190C    01 10 12 14 32 40 42 43 
YPR133W-A  14 20 
YGL005C    20 
YKR087C    14 16 
YJL146W    10 30 43 
YHL013C    # 
YOR356W    01 02 42 
YMR201C    10 32 
YNL103W    01 11 18 
YML101C    # 
YPL116W    10 14 
YBR229C    01 02 42 
YGL196W    # 
YGL035C    01 11 
YLR222C    11 16 
YEL041W    01 
YNL113W    11 16 
YOR299W    01 43 
YBR171W    14 20 
YNL031C    10 11 16 
YKL117W    14 16 34 
YEL027W    14 20 32 34 42 
YJL165C    01 14 32 34 42 
YMR175W    16 32 
YBL092W    12 
YBR145W    01 02 32 
YIL031W    10 14 
YOL149W    01 11 16 
YPR135W    10 16 40 
YBR233W    11 
YDR045C    11 16 
YHR110W    14 20 
YML129C    02 14 
YKL001C    01 
YLR181C    20 
YOL086C    01 02 
YBR244W    32 
YBR227C    14 16 32 
YNR056C    01 20 
YNL016W    01 11 16 
YER165W    11 12 16 20 
YNL327W    01 10 40 
YHR034C    11 12 14 
YNL242W    10 14 20 42 43 
YML006C    30 
YNL297C    14 20 
YLR099W-A  # 
YKR095W    10 14 20 
YOL078W    40 
YGR230W    10 
YDR510W    14 16 
YDR335W    14 16 20 34 
YJR082C    # 
YPL054W    # 
YLR327C    14 
YGR207C    02 
YJL062W-A  # 
YOR042W    # 
YDL238C    01 
YCR017C    20 30 42 
YJL179W    14 16 32 42 
YLR150W    01 16 30 32 40 42 
YLR412W    # 
YIR004W    14 16 20 42 
YFR040W    01 10 14 30 43 
YDL037C    01 
YCR088W    14 16 40 42 43 
YOL093W    11 
YJL144W    32 
YIL115C    12 16 20 42 
YMR094W    10 16 
YER038C    # 
YGR174C    02 14 
YML107C    11 20 
YOR190W    01 43 
YML048W    01 20 42 
YNL117W    01 02 
YBR130C    11 16 20 34 40 42 43 
YPR072W    01 11 
YDR418W    12 
YJL141C    01 10 14 40 
YPL180W    01 32 
YOR109W    01 20 30 42 
YKL193C    10 14 18 20 
YCR107W    01 02 
YIR024C    10 
YHR152W    10 43 
YOR288C    14 
YOL155C    01 42 
YJL037W    # 
YPR148C    # 
YGR271W    11 12 32 
YMR109W    02 20 32 34 42 43 
YGR173W    16 
YBR004C    01 14 
YER104W    10 38 
YOL151W    01 02 32 
YLR362W    01 14 30 32 34 43 
YNR002C    01 20 
YIL158W    # 
YKL032C    10 11 16 
YMR105C    01 02 
YDR519W    14 32 
YDR104C    43 
YER048W-A  # 
YOR027W    14 16 18 32 40 
YCR066W    10 14 16 
YHR164C    10 16 40 
YPR043W    12 
YJR043C    10 
YBR221C    02 
YEL052W    01 16 
